lat,lon,sz,names,len_cat,street,street_nodes,street_id,node_id,source_city,source_city_id
44.3374464,-76.1503212,2,King Street East (137),a,King Street East,105,11393866,221448137,Gananoque,132393
44.3374464,-76.1503212,2,Charmichael Drive (654),a,Charmichael Drive,5,11393912,221451654,Gananoque,132393
44.3375574,-76.1501563,2,King Street East (138),a,King Street East,105,11393866,221448138,Gananoque,132393
44.3375786,-76.1657501,2,Charles Street North (573),a,Charles Street North,32,11393844,408548573,Gananoque,132393
44.3376096,-76.1589585,2,Herbert Street (761),a,Herbert Street,12,11393841,221445761,Gananoque,132393
44.3377562,-76.1498518,2,King Street East (139),a,King Street East,105,11393866,221448139,Gananoque,132393
44.3377712,-76.1658972,2,Charles Street North (087),a,Charles Street North,32,11393844,221446087,Gananoque,132393
44.3378579,-76.1496909,2,King Street East (140),a,King Street East,105,11393866,221448140,Gananoque,132393
44.3379051,-76.166042,2,Charles Street North (574),a,Charles Street North,32,11393844,408548574,Gananoque,132393
44.3379254,-76.1715953,2,Booth Street (352),a,Booth Street,5,11393882,221449352,Gananoque,132393
44.3380523,-76.1706319,2,Queen Street (306),a,Queen Street,9,11393881,221449306,Gananoque,132393
44.3380523,-76.1706319,2,Queen Street (311),a,Queen Street,9,11393881,221449311,Gananoque,132393
44.3380523,-76.1706319,2,Booth Street (350),a,Booth Street,5,11393882,221449350,Gananoque,132393
44.3380523,-76.1706319,2,Booth Street (353),a,Booth Street,5,11393882,221449353,Gananoque,132393
44.3380658,-76.1662868,2,Charles Street North (088),a,Charles Street North,32,11393844,221446088,Gananoque,132393
44.3381706,-76.1491866,2,King Street East (141),a,King Street East,105,11393866,221448141,Gananoque,132393
44.3381853,-76.1695479,2,Booth Street (927),a,Booth Street,5,11393882,353132927,Gananoque,132393
44.3381954,-76.1694654,2,Booth Street (351),a,Booth Street,5,11393882,221449351,Gananoque,132393
44.3381954,-76.1694654,2,Stone Street North (721),a,Stone Street North,24,11393913,221451721,Gananoque,132393
44.3382241,-76.1667279,2,Charles Street North (575),a,Charles Street North,32,11393844,408548575,Gananoque,132393
44.3382512,-76.1489801,2,King Street East (142),a,King Street East,105,11393866,221448142,Gananoque,132393
44.3382662,-76.1669158,2,Charles Street North (089),a,Charles Street North,32,11393844,221446089,Gananoque,132393
44.3382685,-76.1489258,2,King Street East (078),a,King Street East,105,11393866,504247078,Gananoque,132393
44.3382966,-76.1672106,2,Charles Street North (090),a,Charles Street North,32,11393844,221446090,Gananoque,132393
44.3382994,-76.1488286,2,King Street East (666),a,King Street East,105,11393866,408548666,Gananoque,132393
44.3383099,-76.1529135,2,Wilson Drive (220),a,Wilson Drive,11,11393876,401213220,Gananoque,132393
44.338324,-76.1600756,2,Herbert Street (762),a,Herbert Street,12,11393841,221445762,Gananoque,132393
44.3383317,-76.148677,2,King Street East (143),a,King Street East,105,11393866,221448143,Gananoque,132393
44.3383579,-76.1674215,2,Charles Street North (576),a,Charles Street North,32,11393844,408548576,Gananoque,132393
44.3383758,-76.1484342,2,King Street East (144),a,King Street East,105,11393866,221448144,Gananoque,132393
44.3383893,-76.1483015,2,King Street East (145),a,King Street East,105,11393866,221448145,Gananoque,132393
44.3384164,-76.1479813,2,King Street East (254),a,King Street East,105,11393866,401213254,Gananoque,132393
44.3384459,-76.1476336,2,King Street East (146),a,King Street East,105,11393866,221448146,Gananoque,132393
44.3384512,-76.1474918,2,King Street East (147),a,King Street East,105,11393866,221448147,Gananoque,132393
44.3384535,-76.1474297,2,King Street East (255),a,King Street East,105,11393866,401213255,Gananoque,132393
44.3384593,-76.1472773,2,King Street East (148),a,King Street East,105,11393866,221448148,Gananoque,132393
44.3384641,-76.1471495,2,King Street East (149),a,King Street East,105,11393866,221448149,Gananoque,132393
44.3384666,-76.1470948,2,King Street East (416),a,King Street East,105,11393866,318634416,Gananoque,132393
44.3384718,-76.1469778,2,King Street East (150),a,King Street East,105,11393866,221448150,Gananoque,132393
44.3384846,-76.1529154,2,Wilson Drive (021),a,Wilson Drive,11,11393876,221449021,Gananoque,132393
44.3385065,-76.1457377,2,King Street East (256),a,King Street East,105,11393866,401213256,Gananoque,132393
44.3385101,-76.1456108,2,King Street East (128),a,King Street East,105,11393866,221448128,Gananoque,132393
44.3385101,-76.1456108,2,King Street East (131),a,King Street East,105,11393866,221448131,Gananoque,132393
44.3385101,-76.1456108,2,King Street East (151),a,King Street East,105,11393866,221448151,Gananoque,132393
44.3385223,-76.1450159,2,King Street East (241),a,King Street East,105,11393866,401213241,Gananoque,132393
44.3386248,-76.1679388,2,Charles Street North (577),a,Charles Street North,32,11393844,408548577,Gananoque,132393
44.3386628,-76.1680231,2,Charles Street North (091),a,Charles Street North,32,11393844,221446091,Gananoque,132393
44.3386805,-76.1695736,2,Stone Street North (654),a,Stone Street North,24,11393913,408548654,Gananoque,132393
44.3388444,-76.1724039,2,Alberta Street (230),a,Alberta Street,5,11393879,221449230,Gananoque,132393
44.33901,-76.1708586,2,Queen Street (634),a,Queen Street,9,11393881,408548634,Gananoque,132393
44.3390539,-76.16966,2,Stone Street North (653),a,Stone Street North,24,11393913,408548653,Gananoque,132393
44.3390941,-76.1708785,2,Alberta Street (228),a,Alberta Street,5,11393879,221449228,Gananoque,132393
44.3390941,-76.1708785,2,Alberta Street (231),a,Alberta Street,5,11393879,221449231,Gananoque,132393
44.3390941,-76.1708785,2,Queen Street (309),a,Queen Street,9,11393881,221449309,Gananoque,132393
44.3390941,-76.1708785,2,Queen Street (312),a,Queen Street,9,11393881,221449312,Gananoque,132393
44.3391374,-76.1692259,2,Charles Street North (092),a,Charles Street North,32,11393844,221446092,Gananoque,132393
